.129,Ariadna motumotirohiva,,,,Otros invertebrados
.130,Arkys lancearius,,,,
.131,Ascalapha odorata,,,,
.132,Asio flammeus suinda,,,,
.133,Asio stygius,,,,Aves
.134,Aspidimorpha miliaris,,,,Insectos
.135,Aspidolobus sebastianpinerai,,,,Arácnidos
.136,Astylus trifasciatus,,,,Mamíferos
.137,Ateles belzebuth,,,,Peces
.138,Ateles chamek,,,,Invertebrados marinos
.139,Ateles fusciceps,,,,Reptiles
.140,Ateles hybridus,,,,Anfibios
.141,Atelocynus microtis,,,,Otros invertebrados
.142,Atelognathus patagonicus,,,,
.143,Atelopus zeteki,,,,
.144,Athene cunicularia,,,,
.145,Atheris hispida,,,,Aves
.146,Atheris squamigera,,,,Insectos
.147,Atomosphyrus tristiculus,,,,Arácnidos
.148,Atretochoana eiselti,,,,Mamíferos
.149,Attacus atlas,,,,Peces
.150,Attenborougharion rubicundus,,,,Invertebrados marinos
.151,Atthis ellioti,,,,Reptiles
.152,Automeris larra,,,,Anfibios
.153,Ayam cemani,,,,Otros invertebrados
.154,Babyrousa babyrussa,,,,
.155,Bacunculus phyllopus,,,,
.156,Bagheera kiplingi,,,,
.157,Balaeniceps rex,,,,Aves
.158,Balaenoptera musculus,,,,Insectos
.159,Balearica regulorum,,,,Arácnidos
.160,Barsine orientalis,,,,Mamíferos
.161,Basiliscus basiliscus,,,,Peces
.162,Basiliscus plumifrons,,,,Invertebrados marinos
.163,Bassariscus astutus,,,,Reptiles
.164,Batesia hypochlora,,,,Anfibios
.165,Bathynomus giganteus,,,,Otros invertebrados
.166,Batrachoseps gavilanensis,,,,
.167,Batrachostomus cornutus,,,,
.168,Batrachostomus harterti,,,,
.169,Batrachyla antartandica,,,,Aves
.170,Batrachyla leptopus,,,,Insectos
.171,Battus polydamas archidamas,,,,Arácnidos
.172,Beatragus hunteri,,,,Mamíferos
.173,Bipes biporus,,,,Peces
.174,Birupes simoroxigorum,,,,Invertebrados marinos
.175,Bison bison,,,,Reptiles
.176,Blaesospira echinus infernalis,,,,Anfibios
.177,Blastocerus dichotomus,,,,Otros invertebrados
.178,Boa constrictor,,,,
.179,Bocydium globulare,,,,
.180,Bolitoglossa franklini,,,,
.181,Bombus dahlbomii,,,,Aves
.182,Bombus funebris,,,,Insectos
.183,Bombus terrestris,,,,Arácnidos
.184,Bombyx mori,,,,Mamíferos
.185,Bos primigenius taurus,,,,Peces
.186,Bothriechis rowleyi,,,,Invertebrados marinos
.187,Bothriechis schlegelii,,,,Reptiles
.188,Bothus mancus,,,,Anfibios
.189,Brachistosternus cepedai,,,,Otros invertebrados
.190,Bradypus pygmaeus,,,,
.191,Bradypus torquatus,,,,
.192,Bradypus tridactylus,,,,
.193,Bradypus variegatus,,,,
.194,Brahmaea wallichii,,,,
.195,Breviceps fuscus,,,,
.196,Breviceps macrops,,,,
.197,Brookesia micra,,,,
.198,Brookesia nana,,,,
.199,Brotogeris cyanoptera,,,,
.200,Bryaninops natans,,,,
.201,Bubo lacteus,,,,
.202,Bubo magellanicus,,,,
.203,Bubo scandiacus,,,,
.204,Bubulcus ibis,,,,
.205,Buceros bicornis,,,,
.206,Bucorvus abyssinicus,,,,
.207,Budorcas taxicolor,,,,
.208,Bumba lennoni,,,,Aves
.209,Burhinus superciliaris,,,,Insectos
.210,Burramys parvus,,,,Arácnidos
.211,Buteo albigula,,,,Mamíferos
.212,Buteo ventralis,,,,Peces
.213,Cacajao calvus,,,,Invertebrados marinos
.214,Cadeguala occidentalis,,,,Reptiles
.215,Caiman crocodilus,,,,Anfibios
.216,Caiman latirostris,,,,Otros invertebrados
.217,Caiman yacare,,,,
.218,Calendyma chilensis,,,,
.219,Calidris alba,,,,
.220,Calidris pugnax,,,,
.221,Callicebus lucifer,,,,
.222,Callicebus oenanthe,,,,
.223,Callimico goeldii,,,,
